station,lat,lng,avg_predicted,peak_predicted,peak_hour_predicted,imbalance_percent,recommendation
Non-Station Parking,41.91188429293998,-87.6525141366814,85.27798272607737,142.11620205055118,7,-65.5529719802311,🔵 Забрать велосипеды
unknown,41.88408460868326,-87.65839385809416,25.953724055465006,38.83173619633285,6,-53.373197008670246,🔵 Забрать велосипеды
Streeter Dr & Grand Ave,41.89227582401471,-87.61206046442936,16.54463716989238,23.54443040813264,0,-57.582819711935954,🔵 Забрать велосипеды
Michigan Ave & Oak St,41.90096897409428,-87.62377163225338,4.763323479723417,5.757270808044258,7,-79.98680373610182,🔵 Забрать велосипеды
Clark St & Elm St,41.902944515730404,-87.63139938253035,5.450560756964329,7.255002133466104,6,-75.95050155588532,🔵 Забрать велосипеды
Kingsbury St & Kinzie St,41.889179998237466,-87.63850840064018,8.45654347319608,13.585552779792392,8,-61.845071013114506,🔵 Забрать велосипеды
Wells St & Concord Ln,41.9121063882796,-87.63470435506527,4.893169229457831,6.514982462874242,7,-76.94706705996055,🔵 Забрать велосипеды
Canal St & Adams St,41.87956555205409,-87.63996175811131,13.93273991526364,27.622466336412064,7,-34.177806844972636,🟣 Умеренный избыток
Millennium Park,41.88105695593118,-87.62409352249176,6.161235832009845,6.783463274433279,17,-70.75140850354617,🔵 Забрать велосипеды
University Ave & 57th St,41.7909592513868,-87.59992117308327,12.4107142210342,16.869671966863265,9,-39.65483094124135,🟣 Умеренный избыток
Theater on the Lake,41.92626983469665,-87.63086207875709,5.0252007358107775,5.800785975065492,13,-75.49283033130182,🔵 Забрать велосипеды
DuSable Lake Shore Dr & Monroe St,41.88097973561739,-87.61675652133827,5.502215152663644,7.546581756723258,12,-73.0362031275406,🔵 Забрать велосипеды
Wells St & Elm St,41.90319103218964,-87.63439837286985,6.333810678909253,7.4096958453038715,7,-67.00277044791193,🔵 Забрать велосипеды
DuSable Lake Shore Dr & North Blvd,41.91171573087375,-87.6268173102343,4.504476188084144,4.795609647998268,8,-76.33673072891216,🔵 Забрать велосипеды
Halsted St & Wrightwood Ave,41.92949618392033,-87.64947149272454,6.694639752587311,7.793646217748629,17,-64.48983092178938,🔵 Забрать велосипеды
Clark St & Armitage Ave,41.91830185064105,-87.63629705147817,5.224788614308478,6.072168635364682,18,-69.84268866866384,🔵 Забрать велосипеды
Clinton St & Madison St,41.882451635673746,-87.64115984233521,6.463088587342736,8.75023948554313,8,-62.20643101023173,🔵 Забрать велосипеды
Wabash Ave & Grand Ave,41.89145131510931,-87.62676267706229,4.141627164081058,5.00678389421081,7,-75.74482115982185,🔵 Забрать велосипеды
Indiana Ave & Roosevelt Rd,41.867902553113375,-87.6230424775955,4.57501267437961,5.236591665780488,9,-73.09484547381768,🔵 Забрать велосипеды
Dearborn St & Erie St,41.89402684667312,-87.62932045275434,5.551669038717638,6.096689033405843,18,-67.32579008528127,🔵 Забрать велосипеды
