iter	Passed	Remaining
0	80	39990
1	82	20632
2	85	14171
3	88	10929
4	90	8960
5	92	7656
6	95	6721
7	97	6013
8	100	5460
9	102	5024
10	104	4667
11	107	4367
12	109	4118
13	112	3900
14	114	3709
15	117	3540
16	119	3405
17	122	3273
18	124	3153
19	126	3046
20	129	2953
21	132	2869
22	134	2795
23	137	2724
24	140	2671
25	143	2609
26	145	2553
27	148	2499
28	150	2448
29	153	2402
30	155	2355
31	157	2310
32	160	2269
33	162	2231
34	165	2194
35	167	2159
36	169	2124
37	171	2091
38	174	2059
39	176	2030
40	178	2002
41	181	1974
42	183	1953
43	186	1931
44	188	1910
45	191	1888
46	194	1872
47	196	1853
48	199	1832
49	201	1813
50	203	1793
51	206	1775
52	208	1759
53	211	1744
54	213	1728
55	216	1712
56	218	1698
57	220	1683
58	223	1671
59	225	1657
60	228	1643
61	230	1630
62	233	1616
63	235	1603
64	237	1591
65	240	1578
66	242	1567
67	244	1554
68	246	1542
69	249	1531
70	251	1520
71	254	1513
72	257	1503
73	259	1493
74	261	1484
75	264	1474
76	266	1464
77	268	1454
78	271	1445
79	273	1434
80	275	1426
81	278	1418
82	280	1408
83	282	1400
84	285	1392
85	287	1383
86	289	1374
87	291	1366
88	294	1358
89	296	1351
90	299	1344
91	301	1337
92	304	1332
93	307	1327
94	309	1321
95	312	1314
96	314	1306
97	317	1300
98	319	1293
99	321	1286
100	323	1279
101	326	1272
102	328	1266
103	330	1259
104	333	1253
105	335	1247
106	337	1240
107	340	1234
108	342	1228
109	344	1221
110	346	1215
111	349	1209
112	351	1204
113	353	1198
114	355	1191
115	358	1186
116	360	1180
117	362	1174
118	365	1168
119	367	1163
120	369	1158
121	372	1152
122	375	1149
123	377	1143
124	379	1138
125	382	1134
126	384	1128
127	386	1123
128	389	1119
129	391	1114
130	393	1109
131	396	1104
132	398	1098
133	400	1093
134	402	1088
135	404	1083
136	407	1079
137	409	1074
138	412	1070
139	414	1065
140	416	1060
141	418	1056
142	421	1051
143	423	1047
144	426	1043
145	428	1038
146	430	1034
147	432	1029
148	435	1025
149	437	1021
150	440	1016
151	442	1012
152	444	1007
153	446	1003
154	448	999
155	451	995
156	453	991
157	455	986
158	458	982
159	460	978
160	462	974
161	465	970
162	467	966
163	469	962
164	472	958
165	474	954
166	476	950
167	479	947
168	481	942
169	483	939
170	486	935
171	488	931
172	491	928
173	493	924
174	495	920
175	497	916
176	499	912
177	502	908
178	504	905
179	507	901
180	510	898
181	512	895
182	515	892
183	517	889
184	521	887
185	523	884
186	525	880
187	528	876
188	530	873
189	533	870
190	535	866
191	538	863
192	540	859
193	542	855
194	544	852
195	547	848
196	549	845
197	552	842
198	555	839
199	557	836
200	560	833
201	562	829
202	564	826
203	566	822
204	569	819
205	571	815
206	574	812
207	576	809
208	578	805
209	581	802
210	583	799
211	585	795
212	588	792
213	590	788
214	592	785
215	594	781
216	597	778
217	599	775
218	601	771
219	604	768
220	606	765
221	609	762
222	611	759
223	613	755
224	615	752
225	618	749
226	620	746
227	623	743
228	625	739
229	627	736
230	630	733
231	632	730
232	634	727
233	636	723
234	639	720
235	641	717
236	643	714
237	646	711
238	648	707
239	650	704
240	653	701
241	655	698
242	657	695
243	660	692
244	662	689
245	664	686
246	667	683
247	669	680
248	671	677
249	673	673
250	676	670
251	678	667
252	680	664
253	683	661
254	685	658
255	687	655
256	690	652
257	692	649
258	694	646
259	697	643
260	699	640
261	701	637
262	704	634
263	706	631
264	709	628
265	711	625
266	713	622
267	716	620
268	718	617
269	721	614
270	723	611
271	726	608
272	728	605
273	730	602
274	732	599
275	735	596
276	737	593
277	739	590
278	742	587
279	744	584
280	746	581
281	749	579
282	751	576
283	753	573
284	756	570
285	758	567
286	760	564
287	763	561
288	765	558
289	767	555
290	770	553
291	772	550
292	774	547
293	777	544
294	779	541
295	781	538
296	784	536
297	786	533
298	789	530
299	791	527
300	793	524
301	795	521
302	798	519
303	800	516
304	803	513
305	806	511
306	809	508
307	811	505
308	814	503
309	816	500
310	819	497
311	821	495
312	824	492
313	826	489
314	829	486
315	831	484
316	833	481
317	836	478
318	838	475
319	841	473
320	843	470
321	845	467
322	848	464
323	850	462
324	853	459
325	855	456
326	858	453
327	860	451
328	863	448
329	866	446
330	869	443
331	871	441
332	874	438
333	877	436
334	880	433
335	882	430
336	886	428
337	889	426
338	891	423
339	895	421
340	897	418
341	900	415
342	903	413
343	905	410
344	908	408
345	912	405
346	914	403
347	917	400
348	920	398
349	922	395
350	925	392
351	928	390
352	931	387
353	933	385
354	936	382
355	939	379
356	941	377
357	945	374
358	947	372
359	950	369
360	952	366
361	955	364
362	957	361
363	961	359
364	964	356
365	967	354
366	970	351
367	972	348
368	976	346
369	979	344
370	981	341
371	984	338
372	987	336
373	989	333
374	992	330
375	995	328
376	998	325
377	1000	323
378	1003	320
379	1006	317
380	1008	315
381	1012	312
382	1014	310
383	1017	307
384	1020	304
385	1022	302
386	1025	299
387	1029	297
388	1031	294
389	1034	291
390	1036	289
391	1039	286
392	1041	283
393	1044	281
394	1047	278
395	1050	275
396	1053	273
397	1056	270
398	1059	268
399	1062	265
400	1065	263
401	1068	260
402	1070	257
403	1073	255
404	1077	252
405	1079	250
406	1082	247
407	1085	244
408	1087	241
