start_station_name,start_station_id,avg_lat,avg_lng,n_observations
Streeter Dr & Grand Ave,13022,41.892275695503095,-87.6120641634828,145841
DuSable Lake Shore Dr & North Blvd,LF-005,41.911714158343244,-87.62682498047828,79805
DuSable Lake Shore Dr & Monroe St,13300,41.88097887254914,-87.61675642334157,78831
Michigan Ave & Oak St,13042,41.900966420268134,-87.62377241569283,77667
Wells St & Concord Ln,TA1308000050,41.91211230507397,-87.634695185461,72861
Millennium Park,13008,41.881054866785675,-87.6240939320006,67934
Clark St & Elm St,TA1307000039,41.90294305936402,-87.63135348720446,67733
Theater on the Lake,TA1308000001,41.926269870210696,-87.63086544590742,64361
Kingsbury St & Kinzie St,KA1503000043,41.88917467352365,-87.63850714125938,63876
Wells St & Elm St,KA1504000135,41.90319525900613,-87.63438337356463,60052
Broadway & Barry Ave,13137,41.93759961276357,-87.6441015363681,58552
Clark St & Armitage Ave,13146,41.918306716722604,-87.63629689736462,56434
Wabash Ave & Grand Ave,TA1307000117,41.891453933667634,-87.62676019716523,53413
Wilton Ave & Belmont Ave,TA1307000134,41.94018322061802,-87.65299942748206,52935
Clark St & Lincoln Ave,13179,41.91569614730361,-87.63460894553107,52555
Indiana Ave & Roosevelt Rd,SL-005,41.867900517519196,-87.6230476408685,51436
Clinton St & Madison St,TA1305000032,41.88231494738463,-87.64111443190998,50737
Clark St & Wrightwood Ave,TA1305000014,41.92955484198303,-87.64312999817642,50611
Dearborn St & Erie St,13045,41.894019894338946,-87.62932360104809,50565
Clinton St & Washington Blvd,WL-012,41.883374384517936,-87.64120714972594,48933
Wells St & Huron St,TA1306000012,41.89473782592326,-87.63438775084038,48930
St. Clair St & Erie St,13016,41.89433277435653,-87.62279323041388,48816
University Ave & 57th St,KA1503000071,41.79148352371471,-87.5998715466402,48560
Shedd Aquarium,15544,41.86723934865385,-87.61537771549817,47641
Michigan Ave & Washington St,13001,41.883975293767286,-87.62462852055022,46566
LaSalle St & Illinois St,13430,41.890770677819624,-87.63169055480078,46499
Wells St & Hubbard St,TA1307000151,41.889925532446675,-87.634274533178,46255
Ashland Ave & Division St,13061,41.90342879516132,-87.66778324963734,46153
Clark St & Newport St,632,41.94452762663179,-87.65469959390786,46075
Ellis Ave & 60th St,KA1503000014,41.78510063266539,-87.60107516731118,45279
Sheffield Ave & Fullerton Ave,TA1306000016,41.925599703464734,-87.65371242244471,45040
Clark St & Drummond Pl,TA1307000142,41.93124870239691,-87.64432059993916,44356
Green St & Madison St,TA1307000120,41.88188554577323,-87.64881975628685,44061
Larrabee St & Webster Ave,13193,41.92182247767117,-87.64412186013429,43993
Lakeview Ave & Fullerton Pkwy,TA1309000019,41.92585800952735,-87.6389724772035,43754
Damen Ave & Pierce Ave,TA1305000041,41.90939463443943,-87.67769621193115,43277
Halsted St & Roscoe St,TA1309000025,41.943667910705386,-87.64894622289287,43210
Sheffield Ave & Waveland Ave,TA1307000126,41.949358305590415,-87.65451394291898,43207
DuSable Lake Shore Dr & Diversey Pkwy,TA1309000039,41.93258565641943,-87.6364281997116,43162
